"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
" 2010/05/03","4,682,129","326,575,056","70.00","70.00","69.20","70.00"," 0.00","1,254",
" 2010/05/04","7,955,075","552,393,185","70.00","70.00","69.10","69.30","-0.70","2,556",
" 2010/05/05","10,079,215","683,283,006","68.00","68.20","67.60","67.60","-1.70","4,471",
" 2010/05/06","12,334,602","825,512,519","67.10","67.40","66.50","67.00","-0.60","4,403",
" 2010/05/07","13,072,990","868,959,803","65.70","66.90","65.40","66.50","-0.50","3,913",
" 2010/05/10","6,502,052","434,089,192","66.40","67.60","66.30","67.50","+1.00","2,494",
" 2010/05/11","9,008,050","602,472,718","67.90","67.90","66.40","66.40","-1.10","3,318",
" 2010/05/12","5,942,075","393,468,526","66.50","66.50","66.00","66.00","-0.40","2,012",
" 2010/05/13","7,077,018","472,297,377","66.20","67.60","66.10","67.50","+1.50","2,292",
" 2010/05/14","8,684,359","587,108,336","67.50","68.00","67.20","67.90","+0.40","3,525",
" 2010/05/17","5,689,170","380,303,916","67.40","67.50","66.50","67.20","-0.70","2,493",
" 2010/05/18","5,770,182","386,931,194","67.60","67.60","66.70","66.90","-0.30","2,419",
" 2010/05/19","8,960,185","591,783,746","66.40","66.50","65.80","66.20","-0.70","3,219",
" 2010/05/20","7,838,944","514,277,991","66.00","66.30","65.10","65.20","-1.00","2,893",
" 2010/05/21","9,006,306","582,412,890","64.00","65.30","63.70","64.50","-0.70","2,937",
" 2010/05/24","6,419,032","419,922,852","64.70","66.00","64.60","65.20","+0.70","2,001",
" 2010/05/25","11,000,152","706,597,426","64.50","64.80","64.00","64.00","-1.20","3,190",
" 2010/05/26","15,290,709","977,309,576","64.50","64.90","63.40","64.00"," 0.00","4,140",
" 2010/05/27","10,607,404","678,530,808","64.00","64.70","63.60","63.90","-0.10","3,176",
" 2010/05/28","11,922,446","762,777,445","64.80","64.80","63.60","64.20","+0.30","3,450",
" 2010/05/31","7,633,542","490,589,240","64.00","64.60","64.00","64.60","+0.40","2,053",
