"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2012/04/02","2,571,946","364,244,249","140.50","144.00","138.00","143.50","+3.50","1,713",
"2012/04/03","1,548,231","215,119,985","143.50","143.50","136.00","137.50","-6.00","1,172",
"2012/04/05","1,094,940","147,450,280","134.50","136.50","131.50","136.00","-1.50","867",
"2012/04/06","549,582","75,891,898","136.00","139.00","136.00","138.00","+2.00","477",
"2012/04/09","393,415","53,850,770","137.00","137.50","135.50","137.00","-1.00","300",
"2012/04/10","338,792","46,608,796","137.00","138.50","137.00","137.00"," 0.00","251",
"2012/04/11","398,194","54,523,272","136.00","137.50","135.50","137.00"," 0.00","285",
"2012/04/12","273,304","37,536,602","137.00","138.00","137.00","137.50","+0.50","203",
"2012/04/13","515,894","71,901,208","138.00","141.00","138.00","139.00","+1.50","393",
"2012/04/16","399,576","54,746,988","139.00","139.00","136.50","136.50","-2.50","361",
"2012/04/17","327,906","44,786,163","138.50","138.50","136.00","136.00","-0.50","286",
"2012/04/18","400,933","54,431,850","137.50","137.50","134.50","136.50","+0.50","313",
"2012/04/19","386,282","52,606,991","137.00","137.00","135.00","136.50"," 0.00","262",
"2012/04/20","505,132","68,535,512","136.50","136.50","135.00","135.50","-1.00","329",
"2012/04/23","542,188","72,988,380","135.50","135.50","134.00","135.00","-0.50","347",
"2012/04/24","648,362","87,201,370","135.00","136.00","133.00","136.00","+1.00","481",
"2012/04/25","240,837","32,806,332","136.00","136.50","136.00","136.00"," 0.00","191",
"2012/04/26","320,023","43,625,636","136.50","137.00","135.50","136.50","+0.50","228",
"2012/04/27","240,771","32,816,241","136.50","137.00","135.50","135.50","-1.00","195",
"2012/04/30","696,750","94,031,366","136.00","136.50","133.00","136.50","+1.00","379",
