"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/09/01","239,302","27,796,834","116.00","116.50","115.50","116.50","+1.00","210",
"2017/09/04","498,878","58,380,281","116.00","118.00","116.00","117.00","+0.50","390",
"2017/09/05","375,923","44,268,914","117.50","118.00","117.00","118.00","+1.00","340",
"2017/09/06","279,270","32,796,224","118.00","118.00","117.00","117.50","-0.50","231",
"2017/09/07","292,521","34,315,520","117.50","118.00","116.50","117.00","-0.50","214",
"2017/09/08","189,801","22,203,717","117.50","117.50","116.50","117.00"," 0.00","178",
"2017/09/11","791,923","94,222,260","116.50","121.00","116.50","120.00","+3.00","596",
"2017/09/12","553,236","66,559,195","120.00","121.50","119.50","119.50","-0.50","384",
"2017/09/13","252,576","29,888,671","120.00","120.00","117.50","118.00","-1.50","224",
"2017/09/14","165,754","19,602,472","118.00","119.00","117.50","118.50","+0.50","144",
"2017/09/15","303,851","36,145,769","119.00","119.50","118.50","119.00","+0.50","219",
"2017/09/18","298,979","35,744,987","120.00","120.00","119.00","119.50","+0.50","208",
"2017/09/19","196,763","23,523,797","119.50","120.00","118.50","118.50","-1.00","175",
"2017/09/20","153,182","18,087,976","119.00","119.00","117.50","118.00","-0.50","138",
"2017/09/21","281,655","33,586,445","118.00","120.00","118.00","119.00","+1.00","198",
"2017/09/22","187,354","22,083,772","119.00","119.00","117.50","118.00","-1.00","152",
"2017/09/25","438,302","51,067,334","118.00","118.00","115.50","117.00","-1.00","314",
"2017/09/26","198,626","23,115,742","116.50","117.00","116.00","116.00","-1.00","166",
"2017/09/27","304,295","35,378,515","117.00","117.50","115.00","116.00"," 0.00","222",
"2017/09/28","184,647","21,422,872","117.00","117.00","115.50","115.50","-0.50","127",
"2017/09/29","234,970","27,303,460","115.50","117.00","115.50","117.00","+1.50","173",
"2017/09/30","89,780","10,544,649","117.50","117.50","117.00","117.00"," 0.00","76",
