"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2019/01/02","153,705","20,817,729","137.00","137.00","134.50","135.50","-1.50","159",
"2019/01/03","61,850","8,333,250","135.50","135.50","133.00","135.00","-0.50","66",
"2019/01/04","131,590","17,437,351","134.00","134.00","131.50","133.50","-1.50","111",
"2019/01/07","115,712","15,629,178","134.00","136.00","134.00","135.50","+2.00","116",
"2019/01/08","124,023","16,787,605","136.50","136.50","134.50","135.00","-0.50","132",
"2019/01/09","314,257","42,522,195","136.00","136.00","134.50","135.50","+0.50","265",
"2019/01/10","176,760","23,871,360","135.50","136.00","134.00","135.00","-0.50","166",
"2019/01/11","114,895","15,582,270","135.00","136.50","135.00","136.00","+1.00","125",
"2019/01/14","93,881","12,646,486","136.00","136.00","134.00","135.00","-1.00","102",
"2019/01/15","90,562","12,227,432","135.00","136.00","134.50","135.00"," 0.00","95",
"2019/01/16","52,817","7,123,295","134.00","135.50","134.00","135.00"," 0.00","60",
"2019/01/17","183,725","24,665,507","135.00","135.00","133.50","133.50","-1.50","163",
"2019/01/18","106,378","14,257,838","133.50","134.50","133.50","134.50","+1.00","87",
"2019/01/21","145,675","19,756,453","135.00","136.00","135.00","135.50","+1.00","156",
"2019/01/22","157,880","21,364,300","136.00","136.00","134.50","135.00","-0.50","158",
"2019/01/23","131,853","17,693,655","135.00","135.00","133.50","134.00","-1.00","135",
"2019/01/24","150,360","20,263,100","134.00","136.00","134.00","135.00","+1.00","126",
"2019/01/25","114,461","15,446,196","135.00","135.50","134.50","134.50","-0.50","99",
"2019/01/28","122,550","16,606,800","134.50","136.50","134.50","136.50","+2.00","115",
"2019/01/29","97,463","13,192,968","136.00","136.00","135.00","135.50","-1.00","95",
"2019/01/30","179,056","24,146,116","135.50","135.50","134.50","135.50"," 0.00","162",
