"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2013/11/01","38,868,954","483,479,821","12.50","12.50","12.40","12.45"," 0.00","9,942",
"2013/11/04","52,763,960","650,782,729","12.40","12.40","12.25","12.35","-0.10","6,778",
"2013/11/05","33,532,848","415,420,709","12.30","12.50","12.30","12.35"," 0.00","5,634",
"2013/11/06","34,671,816","427,205,609","12.35","12.40","12.25","12.30","-0.05","5,941",
"2013/11/07","27,328,133","337,499,461","12.30","12.45","12.25","12.45","+0.15","4,605",
"2013/11/08","13,344,715","164,806,188","12.35","12.40","12.30","12.35","-0.10","2,422",
"2013/11/11","27,477,212","335,714,146","12.30","12.35","12.15","12.15","-0.20","4,798",
"2013/11/12","37,813,617","457,867,906","12.15","12.25","12.00","12.10","-0.05","5,980",
"2013/11/13","52,608,444","632,670,079","12.05","12.10","11.95","12.00","-0.10","6,919",
"2013/11/14","36,345,610","437,478,270","12.00","12.10","12.00","12.00"," 0.00","6,569",
"2013/11/15","21,781,517","263,082,204","12.10","12.15","12.00","12.05","+0.05","4,172",
"2013/11/18","17,199,250","207,395,450","12.10","12.15","12.00","12.05"," 0.00","3,080",
"2013/11/19","31,939,361","384,287,332","12.10","12.10","12.00","12.05"," 0.00","5,184",
"2013/11/20","24,019,785","288,939,070","12.05","12.10","12.00","12.00","-0.05","3,391",
"2013/11/21","28,070,985","334,099,166","12.00","12.00","11.85","11.90","-0.10","4,975",
"2013/11/22","13,140,239","157,172,935","11.90","12.00","11.90","11.95","+0.05","3,632",
"2013/11/25","17,847,429","214,251,042","12.05","12.10","11.95","12.00","+0.05","3,765",
"2013/11/26","28,498,167","343,830,715","11.95","12.20","11.95","12.05","+0.05","4,127",
"2013/11/27","25,451,885","308,764,177","12.05","12.20","12.05","12.15","+0.10","3,656",
"2013/11/28","68,521,630","847,793,920","12.20","12.45","12.20","12.40","+0.25","11,542",
"2013/11/29","39,172,303","484,126,584","12.45","12.50","12.30","12.30","-0.10","5,876",
