"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2014/02/05","99,678,711","1,197,762,682","12.05","12.10","11.90","12.00","-0.35","15,634",
"2014/02/06","43,445,935","524,677,358","12.00","12.15","12.00","12.05","+0.05","8,178",
"2014/02/07","41,897,964","504,062,804","12.10","12.20","12.10","12.10","+0.05","6,657",
"2014/02/10","17,707,210","212,749,936","12.10","12.20","12.10","12.10"," 0.00","3,172",
"2014/02/11","24,572,358","298,359,409","12.20","12.20","12.10","12.10"," 0.00","4,411",
"2014/02/12","34,945,974","425,323,786","12.20","12.25","12.10","12.20","+0.10","5,470",
"2014/02/13","12,234,546","148,907,383","12.20","12.25","12.15","12.20"," 0.00","2,212",
"2014/02/14","41,646,392","511,601,519","12.20","12.35","12.20","12.30","+0.10","7,432",
"2014/02/17","17,866,638","219,374,580","12.35","12.40","12.20","12.20","-0.10","2,924",
"2014/02/18","26,808,284","326,176,971","12.20","12.25","12.10","12.20"," 0.00","3,815",
"2014/02/19","12,993,054","158,741,048","12.20","12.25","12.15","12.25","+0.05","2,849",
"2014/02/20","18,913,440","230,548,015","12.25","12.25","12.15","12.20","-0.05","3,188",
"2014/02/21","23,784,945","291,908,948","12.25","12.30","12.20","12.30","+0.10","5,031",
"2014/02/24","20,860,146","255,686,308","12.30","12.35","12.20","12.25","-0.05","3,538",
"2014/02/25","20,152,678","247,063,951","12.25","12.30","12.20","12.25"," 0.00","3,312",
"2014/02/26","62,660,228","778,463,839","12.30","12.55","12.25","12.35","+0.10","8,350",
"2014/02/27","28,507,927","353,015,601","12.45","12.50","12.30","12.30","-0.05","3,608",
