"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/04/02","2,119,324","42,412,780","19.95","20.10","19.95","20.00","+0.05","1,015",
"2018/04/03","9,802,245","194,524,568","19.85","19.90","19.80","19.80","-0.20","3,169",
"2018/04/09","15,430,902","302,427,754","19.80","19.80","19.50","19.55","-0.25","5,155",
"2018/04/10","10,742,383","210,220,241","19.50","19.70","19.50","19.55"," 0.00","3,668",
"2018/04/11","5,429,432","106,742,160","19.60","19.75","19.60","19.65","+0.10","2,549",
"2018/04/12","11,087,446","216,699,327","19.60","19.65","19.50","19.50","-0.15","3,249",
"2018/04/13","13,478,047","268,520,612","19.90","20.05","19.80","19.95","+0.45","3,644",
"2018/04/16","7,077,203","139,611,011","19.85","19.95","19.65","19.70","-0.25","2,527",
"2018/04/17","8,613,143","168,793,896","19.70","19.70","19.50","19.60","-0.10","3,143",
"2018/04/18","5,669,810","111,101,468","19.70","19.70","19.55","19.55","-0.05","2,298",
"2018/04/19","8,121,142","160,036,942","19.70","19.80","19.60","19.80","+0.25","3,369",
"2018/04/20","7,347,312","145,443,898","19.70","19.90","19.65","19.90","+0.10","2,534",
"2018/04/23","5,028,531","99,408,704","19.85","19.90","19.65","19.80","-0.10","2,087",
"2018/04/24","9,042,541","177,012,363","19.70","19.75","19.50","19.55","-0.25","3,883",
"2018/04/25","5,728,358","112,087,139","19.50","19.65","19.40","19.65","+0.10","1,980",
"2018/04/26","12,264,616","239,949,265","19.70","19.70","19.50","19.55","-0.10","3,529",
"2018/04/27","11,125,314","216,685,060","19.55","19.70","19.40","19.45","-0.10","3,648",
"2018/04/30","13,526,144","263,102,081","19.50","19.60","19.40","19.40","-0.05","4,314",
