"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
" 2010/11/01","28,043,751","952,750,866","33.50","34.40","33.30","34.00","+0.50","8,155",
" 2010/11/02","11,770,671","396,446,766","34.00","34.00","33.00","33.30","-0.70","4,209",
" 2010/11/03","11,226,091","374,048,101","33.40","33.70","33.10","33.30"," 0.00","3,065",
" 2010/11/04","9,961,618","329,262,566","33.30","33.40","32.90","33.00","-0.30","2,367",
" 2010/11/05","12,772,231","417,790,798","33.00","33.45","32.50","32.75","-0.25","3,826",
" 2010/11/08","9,049,911","291,557,315","32.45","32.60","32.00","32.35","-0.40","2,418",
" 2010/11/09","8,957,523","294,265,306","32.30","33.15","32.25","32.80","+0.45","3,929",
" 2010/11/10","6,674,997","216,877,274","32.80","32.80","32.35","32.55","-0.25","2,065",
" 2010/11/11","10,568,914","339,726,434","32.15","32.45","32.00","32.00","-0.55","2,934",
" 2010/11/12","8,699,418","274,026,404","31.85","31.85","31.30","31.40","-0.60","3,069",
" 2010/11/15","4,776,115","150,234,242","31.20","31.80","31.05","31.45","+0.05","1,862",
" 2010/11/16","5,905,322","187,799,911","31.60","32.05","31.50","31.90","+0.45","2,003",
" 2010/11/17","9,496,062","299,696,148","31.55","31.65","31.45","31.50","-0.40","2,437",
" 2010/11/18","11,255,603","351,209,887","31.50","31.55","31.00","31.20","-0.30","2,810",
" 2010/11/19","11,815,703","371,827,856","31.50","31.70","31.20","31.30","+0.10","3,703",
" 2010/11/22","8,730,143","277,153,702","31.30","32.30","31.20","31.95","+0.65","2,354",
" 2010/11/23","6,240,217","197,597,377","31.80","31.90","31.45","31.45","-0.50","1,832",
" 2010/11/24","3,212,814","100,792,463","31.20","31.50","31.20","31.35","-0.10","1,044",
" 2010/11/25","6,933,137","221,083,921","31.65","32.10","31.40","31.70","+0.35","2,612",
" 2010/11/26","4,348,819","138,199,068","31.80","31.95","31.70","31.70"," 0.00","1,305",
" 2010/11/29","8,458,761","267,424,241","32.10","32.10","31.45","31.45","-0.25","2,445",
" 2010/11/30","17,020,785","545,920,411","31.80","32.50","31.65","31.75","+0.30","4,644",
