"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
" 2010/07/01","15,248,875","6,733,387,875","452.50","454.00","432.00","432.00","-20.50","11,437",
" 2010/07/02","17,103,557","7,349,238,396","433.00","437.00","424.00","425.50","-6.50","12,163",
" 2010/07/05","7,001,316","3,054,926,752","429.00","441.00","429.00","440.00","+14.50","5,569",
" 2010/07/06","10,361,170","4,637,207,020","438.00","454.50","436.00","453.00","+13.00","7,328",
" 2010/07/07","9,333,831","4,224,158,943","456.00","460.00","447.50","448.00","-5.00","6,693",
" 2010/07/08","8,307,047","3,799,557,432","457.00","463.00","453.00","454.00","+6.00","6,530",
" 2010/07/09","10,546,210","4,916,824,487","454.00","473.00","453.00","471.50","+17.50","7,815",
" 2010/07/12","8,270,933","3,890,857,144","474.00","477.00","465.00","468.00","-3.50","5,403",
" 2010/07/13","7,566,431","3,528,117,415","475.00","475.00","459.00","462.50","-5.50","5,693",
" 2010/07/14","8,294,595","3,936,930,625","469.00","480.00","469.00","475.00","+12.50","6,206",
" 2010/07/15","8,125,466","3,793,813,622","470.00","473.00","462.00","463.00","-12.00","5,999",
" 2010/07/16","8,518,938","3,982,282,360","467.00","469.50","464.00","469.00","+6.00","4,754",
" 2010/07/19","5,224,832","2,427,703,262","465.00","469.00","461.00","464.00","-5.00","3,724",
" 2010/07/20","5,208,009","2,444,410,230","470.00","471.00","467.50","468.00","+4.00","3,614",
" 2010/07/21","5,976,386","2,780,969,534","472.00","473.00","459.00","462.00","-6.00","4,376",
" 2010/07/22","6,228,752","2,858,382,660","462.00","466.00","452.00","453.00","-9.00","4,792",
" 2010/07/23","5,979,879","2,777,622,130","460.00","472.00","458.00","470.00","+17.00","4,318",
" 2010/07/26","7,206,798","3,446,790,040","475.00","480.50","473.00","480.00","+10.00","5,199",
" 2010/07/27","15,381,629","7,417,453,307","482.50","488.00","473.00","483.00","+3.00","8,194",
" 2010/07/28","20,537,886","9,285,255,946","460.00","465.00","442.00","442.00","X0.00","14,581",
" 2010/07/29","13,875,488","5,943,979,304","426.00","434.00","425.00","427.00","-15.00","9,784",
" 2010/07/30","8,144,193","3,523,334,841","430.00","437.00","429.00","433.50","+6.50","6,009",
