"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2015/08/03","4,767,384","532,638,508","115.00","115.00","110.00","112.00","-2.50","3,140",
"2015/08/04","6,952,833","750,225,131","112.00","113.00","105.00","107.00","-5.00","3,830",
"2015/08/05","4,137,349","440,949,513","106.00","108.50","104.00","107.50","+0.50","2,946",
"2015/08/06","11,076,581","1,244,739,574","110.50","116.00","109.00","114.00","+6.50","5,261",
"2015/08/07","5,904,204","650,361,831","112.50","113.00","108.50","109.00","-5.00","3,565",
"2015/08/10","4,155,749","462,657,509","108.00","113.50","107.00","113.00","+4.00","2,501",
"2015/08/11","5,506,909","633,032,076","115.00","116.00","113.50","114.50","+1.50","3,379",
"2015/08/12","4,121,099","468,569,286","114.00","115.50","111.00","115.00","+0.50","2,532",
"2015/08/13","3,426,110","398,351,480","115.00","119.00","113.50","119.00","+4.00","2,179",
"2015/08/14","3,888,868","445,687,013","117.00","118.50","112.50","113.00","-6.00","2,832",
"2015/08/17","2,858,512","317,840,772","113.00","113.00","110.00","110.50","-2.50","1,566",
"2015/08/18","4,484,645","502,493,340","110.50","113.50","110.50","112.00","+1.50","2,143",
"2015/08/19","4,213,304","462,985,365","113.00","113.00","108.00","110.00","-2.00","2,459",
"2015/08/20","5,310,382","586,070,512","110.00","112.50","108.00","111.00","+1.00","2,789",
"2015/08/21","5,072,134","540,042,838","108.50","109.00","105.00","106.00","-5.00","3,256",
"2015/08/24","6,946,224","698,914,853","103.00","104.50","95.70","102.00","-4.00","3,744",
"2015/08/25","3,562,534","370,950,304","98.00","106.50","98.00","106.50","+4.50","2,464",
"2015/08/26","3,974,406","422,887,676","106.50","108.50","104.50","106.00","-0.50","2,206",
"2015/08/27","5,570,811","588,308,915","105.00","108.00","103.50","104.00","-2.00","2,945",
"2015/08/28","5,086,730","540,837,410","106.00","108.00","105.00","105.00","+1.00","2,799",
"2015/08/31","4,369,309","466,882,181","106.50","109.00","105.00","109.00","+4.00","2,372",
