"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/08/01","28,500,782","633,024,397","22.00","22.35","22.00","22.35","X0.00","8,070",
"2018/08/02","11,736,420","260,510,115","22.45","22.50","22.10","22.10","-0.25","4,319",
"2018/08/03","6,978,594","155,136,804","22.30","22.35","22.15","22.30","+0.20","2,633",
"2018/08/06","5,986,689","134,046,284","22.40","22.45","22.30","22.45","+0.15","2,154",
"2018/08/07","6,415,664","143,770,923","22.45","22.50","22.30","22.40","-0.05","2,526",
"2018/08/08","6,184,837","138,478,901","22.50","22.50","22.35","22.40"," 0.00","2,711",
"2018/08/09","4,676,632","104,510,938","22.40","22.45","22.30","22.35","-0.05","1,916",
"2018/08/10","4,849,994","108,397,898","22.35","22.40","22.30","22.40","+0.05","2,247",
"2018/08/13","14,106,166","310,138,746","22.30","22.30","21.80","21.85","-0.55","5,419",
"2018/08/14","9,619,132","208,484,299","21.75","21.85","21.60","21.65","-0.20","4,774",
"2018/08/15","6,090,651","131,717,699","21.70","21.75","21.55","21.55","-0.10","3,590",
"2018/08/16","7,901,131","168,914,792","21.50","21.55","21.30","21.35","-0.20","3,577",
"2018/08/17","8,795,879","187,814,934","21.50","21.65","21.20","21.20","-0.15","4,265",
"2018/08/20","7,213,450","153,465,963","21.20","21.50","21.20","21.20"," 0.00","2,971",
"2018/08/21","4,558,679","97,125,483","21.30","21.40","21.25","21.40","+0.20","2,159",
"2018/08/22","4,639,212","98,981,014","21.40","21.45","21.30","21.35","-0.05","2,169",
"2018/08/23","4,407,872","94,462,984","21.35","21.50","21.35","21.45","+0.10","1,969",
"2018/08/24","8,830,312","187,850,599","21.40","21.40","21.20","21.30","-0.15","3,691",
"2018/08/27","8,275,309","176,399,684","21.35","21.40","21.25","21.35","+0.05","3,406",
"2018/08/28","7,692,820","165,106,700","21.40","21.55","21.35","21.45","+0.10","3,457",
"2018/08/29","6,343,682","137,111,400","21.50","21.70","21.50","21.70","+0.25","3,166",
"2018/08/30","5,184,182","112,629,333","21.80","21.85","21.60","21.70"," 0.00","2,643",
"2018/08/31","11,705,798","252,938,349","21.60","21.75","21.50","21.75","+0.05","3,731",
