"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2014/02/05","11,080,020","646,143,361","58.50","59.50","57.60","57.80","-1.90","5,806",
"2014/02/06","6,494,549","378,259,617","58.00","58.70","57.80","58.20","+0.40","3,596",
"2014/02/07","4,909,068","288,056,043","58.50","59.10","58.30","59.10","+0.90","2,757",
"2014/02/10","2,886,142","171,060,657","59.20","59.50","59.10","59.20","+0.10","1,570",
"2014/02/11","8,581,427","498,689,325","59.10","59.10","57.90","57.90","-1.30","3,355",
"2014/02/12","5,594,900","328,587,157","58.00","59.50","58.00","59.50","+1.60","2,529",
"2014/02/13","3,751,540","224,686,634","59.00","60.40","59.00","59.80","+0.30","2,048",
"2014/02/14","3,360,194","202,489,135","60.40","60.50","60.00","60.30","+0.50","1,998",
"2014/02/17","4,056,017","239,927,005","58.00","59.80","58.00","59.20","-1.10","2,349",
"2014/02/18","2,766,917","165,079,820","59.00","59.90","59.00","59.90","+0.70","1,494",
"2014/02/19","10,759,632","656,797,896","60.50","61.70","60.30","61.00","+1.10","4,886",
"2014/02/20","5,209,005","317,225,698","61.00","61.10","60.50","60.90","-0.10","3,133",
"2014/02/21","6,180,073","377,337,985","60.70","61.40","60.70","61.40","+0.50","2,513",
"2014/02/24","2,990,933","181,654,107","61.40","61.40","60.50","60.70","-0.70","1,742",
"2014/02/25","2,441,508","147,996,824","60.50","61.00","60.50","60.60","-0.10","1,278",
"2014/02/26","2,162,941","131,218,010","60.40","61.10","60.20","60.40","-0.20","1,357",
"2014/02/27","2,591,906","158,249,413","60.20","61.40","60.20","61.40","+1.00","1,224",
