"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/09/01","153,265","26,389,610","171.50","173.50","171.50","172.50"," 0.00","148",
"2016/09/02","96,420","16,560,450","172.50","173.00","171.50","171.50","-1.00","96",
"2016/09/05","142,022","24,550,814","172.50","173.50","171.50","173.00","+1.50","138",
"2016/09/06","102,995","17,879,126","174.00","174.00","173.00","174.00","+1.00","104",
"2016/09/07","480,096","84,761,492","175.00","178.50","175.00","176.00","+2.00","357",
"2016/09/08","303,300","53,190,800","177.00","177.00","174.50","175.00","-1.00","228",
"2016/09/09","107,456","18,855,028","175.00","176.50","175.00","176.00","+1.00","99",
"2016/09/10","77,399","13,515,325","174.00","175.50","173.50","174.50","-1.50","68",
"2016/09/12","116,551","20,428,476","174.50","176.00","174.50","175.50","+1.00","114",
"2016/09/13","132,685","23,141,531","175.50","176.50","173.50","173.50","-2.00","116",
"2016/09/14","125,230","21,820,750","173.50","175.00","173.00","174.50","+1.00","115",
"2016/09/19","119,454","20,878,950","175.50","175.50","174.00","174.50"," 0.00","118",
"2016/09/20","101,422","17,682,637","175.00","175.00","174.00","174.00","-0.50","99",
"2016/09/21","141,674","24,697,112","173.50","175.00","173.50","174.50","+0.50","142",
"2016/09/22","93,545","16,331,645","174.50","175.50","174.00","174.00","-0.50","95",
"2016/09/23","251,759","43,818,445","174.00","174.50","173.50","174.00"," 0.00","180",
"2016/09/26","92,500","16,099,249","174.50","174.50","173.50","174.00"," 0.00","70",
"2016/09/29","201,903","35,142,070","174.00","174.50","173.50","174.00"," 0.00","188",
"2016/09/30","350,513","60,939,018","174.00","174.50","173.00","173.00","-1.00","308",
