"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/11/01","155,413","26,342,123","170.50","170.50","168.50","170.50"," 0.00","138",
"2018/11/02","143,341","24,278,137","170.50","170.50","169.00","169.50","-1.00","151",
"2018/11/05","145,837","24,592,290","169.50","169.50","168.00","169.00","-0.50","176",
"2018/11/06","180,052","30,554,840","169.50","170.50","169.00","169.50","+0.50","190",
"2018/11/07","200,414","33,975,083","169.50","170.50","169.00","169.50"," 0.00","201",
"2018/11/08","172,517","29,245,139","170.00","170.50","169.00","169.50"," 0.00","205",
"2018/11/09","131,198","22,215,660","169.50","170.00","169.00","169.50"," 0.00","168",
"2018/11/12","479,037","80,448,790","169.00","170.00","166.50","169.00","-0.50","387",
"2018/11/13","92,326","15,584,420","168.00","169.50","167.00","169.00"," 0.00","113",
"2018/11/14","181,000","30,671,500","169.00","169.50","169.00","169.50","+0.50","119",
"2018/11/15","113,100","19,167,250","169.50","170.00","169.00","169.50"," 0.00","98",
"2018/11/16","102,170","17,327,479","170.00","170.00","169.00","169.50"," 0.00","124",
"2018/11/19","128,949","21,764,330","170.00","170.00","168.00","169.50"," 0.00","151",
"2018/11/20","93,999","15,866,826","169.50","169.50","168.50","168.50","-1.00","116",
"2018/11/21","175,687","29,534,103","168.50","168.50","167.50","168.00","-0.50","206",
"2018/11/22","53,816","9,068,404","168.50","169.00","168.00","168.50","+0.50","88",
"2018/11/23","84,519","14,204,943","168.00","168.50","168.00","168.00","-0.50","123",
"2018/11/26","106,999","18,087,828","168.00","169.50","168.00","168.00"," 0.00","113",
"2018/11/27","49,415","8,366,332","168.50","169.50","168.50","169.50","+1.50","76",
"2018/11/28","117,400","19,829,296","169.50","169.50","168.00","168.50","-1.00","108",
"2018/11/29","143,708","24,252,652","170.00","170.00","168.00","168.50"," 0.00","163",
"2018/11/30","205,069","34,594,161","168.50","169.00","168.50","168.50"," 0.00","152",
