"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
" 2010/01/04","5,963,453","399,570,338","67.30","67.40","66.60","67.00","-0.30","1,955",
" 2010/01/05","9,028,828","610,088,328","67.80","67.80","67.20","67.80","+0.80","3,186",
" 2010/01/06","26,792,651","1,865,910,579","67.80","71.40","67.60","70.00","+2.20","8,922",
" 2010/01/07","16,549,682","1,159,565,663","70.50","70.50","69.50","70.00"," 0.00","5,653",
" 2010/01/08","19,806,160","1,415,408,127","71.20","72.50","70.50","70.60","+0.60","6,254",
" 2010/01/11","6,745,039","479,393,947","70.90","71.30","70.70","71.30","+0.70","2,663",
" 2010/01/12","6,640,352","470,626,390","71.40","71.50","70.30","71.00","-0.30","3,062",
" 2010/01/13","7,008,275","488,761,030","70.50","70.50","69.30","70.00","-1.00","3,064",
" 2010/01/14","6,358,709","447,305,035","70.00","70.90","69.90","70.80","+0.80","2,714",
" 2010/01/15","4,918,029","346,256,530","70.70","70.70","70.10","70.50","-0.30","2,146",
" 2010/01/18","4,517,299","315,405,473","70.00","70.10","69.60","69.80","-0.70","1,839",
" 2010/01/19","10,395,328","711,646,518","69.50","69.60","67.90","68.30","-1.50","4,326",
" 2010/01/20","8,410,661","571,740,815","68.30","68.30","67.70","68.00","-0.30","2,542",
" 2010/01/21","6,258,748","422,892,192","67.90","67.90","67.10","67.90","-0.10","2,106",
" 2010/01/22","11,909,441","796,088,905","67.20","67.40","66.50","66.80","-1.10","4,617",
" 2010/01/25","9,187,699","608,488,868","66.00","66.50","65.90","66.40","-0.40","3,049",
" 2010/01/26","14,650,292","956,377,380","66.50","66.50","64.20","64.20","-2.20","5,215",
" 2010/01/27","8,248,059","541,095,827","64.40","66.40","64.10","65.60","+1.40","3,834",
" 2010/01/28","7,853,624","522,290,066","66.00","67.00","65.70","66.50","+0.90","3,078",
" 2010/01/29","10,167,647","669,397,259","65.60","66.60","65.30","66.60","+0.10","3,130",
" 2010/02/01","10,370,615","691,326,896","67.40","67.40","66.00","67.30","+0.70","2,903",
" 2010/02/02","17,287,319","1,154,808,824","67.80","68.00","65.00","66.20","-1.10","5,080",
" 2010/02/03","6,423,579","425,716,184","66.20","67.00","65.60","67.00","+0.80","2,100",
" 2010/02/04","10,127,726","679,120,498","67.00","67.90","66.20","66.50","-0.50","3,021",
" 2010/02/05","15,583,906","1,013,504,927","65.30","65.80","64.50","65.00","-1.50","5,327",
" 2010/02/06","5,421,064","356,228,124","65.00","66.30","64.80","66.00","+1.00","2,294",
" 2010/02/08","8,525,374","556,713,084","65.20","65.90","65.00","65.90","-0.10","3,345",
" 2010/02/09","12,115,177","800,164,734","65.80","66.70","65.20","65.70","-0.20","4,250",
" 2010/02/10","9,012,753","592,111,373","66.00","66.10","65.20","65.90","+0.20","3,444",
" 2010/02/22","8,713,014","585,375,298","67.00","67.70","66.60","67.40","+1.50","3,173",
" 2010/02/23","9,253,976","629,421,427","67.50","68.90","67.00","68.90","+1.50","3,686",
" 2010/02/24","12,935,215","887,627,941","68.40","69.00","67.70","68.30","-0.60","3,791",
" 2010/02/25","15,715,002","1,081,565,200","68.50","69.30","67.50","68.60","+0.30","4,896",
" 2010/02/26","8,847,213","608,896,397","68.60","69.50","68.10","69.20","+0.60","3,513",
" 2010/03/01","11,354,365","789,886,459","69.50","70.00","68.50","68.80","-0.40","4,072",
" 2010/03/02","11,267,261","778,252,585","69.20","69.30","68.40","68.70","-0.10","3,043",
" 2010/03/03","7,635,989","527,041,141","68.90","69.50","68.60","69.10","+0.40","2,378",
" 2010/03/04","11,204,346","773,774,174","69.20","69.40","68.30","69.40","+0.30","3,275",
" 2010/03/05","10,467,388","730,065,194","69.80","70.20","69.20","70.00","+0.60","3,349",
" 2010/03/08","5,741,640","402,352,560","70.20","70.40","69.70","70.00"," 0.00","2,035",
" 2010/03/09","4,501,461","314,440,691","70.00","70.00","69.70","70.00"," 0.00","1,963",
" 2010/03/10","6,194,388","432,859,698","70.00","70.00","69.50","70.00"," 0.00","2,299",
" 2010/03/11","3,647,507","254,793,154","70.00","70.20","69.70","69.90","-0.10","1,599",
" 2010/03/12","7,811,412","544,994,281","69.90","69.90","69.50","69.90"," 0.00","1,914",
" 2010/03/15","8,636,784","603,281,597","70.00","70.30","69.50","69.90"," 0.00","1,779",
" 2010/03/16","5,937,330","414,914,520","70.00","70.20","69.50","70.20","+0.30","1,677",
" 2010/03/17","12,806,800","900,574,192","70.20","70.70","69.80","70.60","+0.40","4,393",
" 2010/03/18","10,926,204","774,908,440","70.70","71.20","70.50","71.00","+0.40","2,794",
" 2010/03/19","12,094,895","855,097,922","71.00","71.00","69.90","71.00"," 0.00","2,817",
" 2010/03/22","8,255,947","575,596,144","70.00","70.20","69.30","70.20","-0.80","2,812",
" 2010/03/23","7,482,391","519,405,749","69.60","70.20","69.00","69.80","-0.40","2,259",
" 2010/03/24","8,319,235","578,454,909","69.70","69.80","69.20","69.80"," 0.00","2,400",
" 2010/03/25","13,118,707","911,351,706","69.80","69.90","68.50","69.70","-0.10","2,929",
" 2010/03/26","12,744,306","891,532,790","69.50","70.80","68.20","70.80","+1.10","4,170",
" 2010/03/29","6,706,018","474,318,423","70.80","70.90","70.50","70.50","-0.30","2,240",
" 2010/03/30","6,857,841","484,115,762","70.80","70.90","70.40","70.70","+0.20","1,976",
" 2010/03/31","6,013,618","423,894,198","71.00","71.00","70.00","70.00","-0.70","2,006",
" 2010/04/01","12,152,070","861,531,270","70.00","71.40","70.00","71.30","+1.30","4,210",
" 2010/04/02","4,384,386","311,979,808","71.50","71.50","70.90","71.20","-0.10","2,001",
" 2010/04/06","9,459,414","673,363,141","71.00","71.40","70.90","71.10","-0.10","2,438",
" 2010/04/07","8,486,209","602,685,822","71.20","71.30","70.90","71.10"," 0.00","2,799",
" 2010/04/08","13,480,167","947,280,476","70.50","71.00","69.50","69.80","-1.30","5,162",
" 2010/04/09","7,066,835","493,369,245","70.10","70.30","69.60","69.70","-0.10","2,839",
" 2010/04/12","8,836,730","616,671,625","70.10","70.30","69.50","70.00","+0.30","1,986",
" 2010/04/13","4,826,384","337,636,291","70.00","70.10","69.70","70.00"," 0.00","1,357",
" 2010/04/14","6,266,850","441,030,991","70.30","71.00","69.90","70.80","+0.80","1,902",
" 2010/04/15","11,169,168","791,920,639","71.00","71.30","70.60","71.30","+0.50","2,292",
" 2010/04/16","6,834,784","484,949,858","71.20","71.30","70.50","70.50","-0.80","1,944",
" 2010/04/19","11,482,926","802,458,120","69.90","70.30","69.40","69.40","-1.10","3,395",
" 2010/04/20","7,034,551","486,877,045","69.60","69.60","69.00","69.20","-0.20","2,512",
" 2010/04/21","9,081,361","628,368,147","69.20","69.70","68.90","69.60","+0.40","2,793",
" 2010/04/22","10,118,026","695,779,045","69.40","69.40","68.50","68.70","-0.90","3,483",
" 2010/04/23","11,929,170","816,967,628","68.90","68.90","68.30","68.70"," 0.00","2,567",
" 2010/04/26","12,834,608","898,014,748","68.90","70.50","68.90","70.50","+1.80","4,581",
" 2010/04/27","8,146,122","573,504,747","70.50","70.60","70.00","70.40","-0.10","1,715",
" 2010/04/28","5,127,585","356,276,063","69.00","70.00","69.00","69.40","-1.00","2,255",
" 2010/04/29","5,699,814","394,881,688","69.50","69.50","69.00","69.20","-0.20","1,765",
" 2010/04/30","9,177,654","642,014,936","69.20","70.60","69.20","70.00","+0.80","3,268",
" 2010/05/03","4,682,129","326,575,056","70.00","70.00","69.20","70.00"," 0.00","1,254",
" 2010/05/04","7,955,075","552,393,185","70.00","70.00","69.10","69.30","-0.70","2,556",
" 2010/05/05","10,079,215","683,283,006","68.00","68.20","67.60","67.60","-1.70","4,471",
" 2010/05/06","12,334,602","825,512,519","67.10","67.40","66.50","67.00","-0.60","4,403",
" 2010/05/07","13,072,990","868,959,803","65.70","66.90","65.40","66.50","-0.50","3,913",
" 2010/05/10","6,502,052","434,089,192","66.40","67.60","66.30","67.50","+1.00","2,494",
" 2010/05/11","9,008,050","602,472,718","67.90","67.90","66.40","66.40","-1.10","3,318",
" 2010/05/12","5,942,075","393,468,526","66.50","66.50","66.00","66.00","-0.40","2,012",
" 2010/05/13","7,077,018","472,297,377","66.20","67.60","66.10","67.50","+1.50","2,292",
" 2010/05/14","8,684,359","587,108,336","67.50","68.00","67.20","67.90","+0.40","3,525",
" 2010/05/17","5,689,170","380,303,916","67.40","67.50","66.50","67.20","-0.70","2,493",
" 2010/05/18","5,770,182","386,931,194","67.60","67.60","66.70","66.90","-0.30","2,419",
" 2010/05/19","8,960,185","591,783,746","66.40","66.50","65.80","66.20","-0.70","3,219",
" 2010/05/20","7,838,944","514,277,991","66.00","66.30","65.10","65.20","-1.00","2,893",
" 2010/05/21","9,006,306","582,412,890","64.00","65.30","63.70","64.50","-0.70","2,937",
" 2010/05/24","6,419,032","419,922,852","64.70","66.00","64.60","65.20","+0.70","2,001",
