"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
" 2010/01/04","4,636,571","2,604,600,924","558.00","567.00","557.00","567.00","+9.00","3,218",
" 2010/01/05","5,863,778","3,328,992,570","570.00","574.00","560.00","568.00","+1.00","3,857",
" 2010/01/06","5,398,307","3,065,113,604","568.00","575.00","562.00","575.00","+7.00","3,461",
" 2010/01/07","4,750,911","2,697,322,160","575.00","575.00","560.00","561.00","-14.00","3,349",
" 2010/01/08","7,542,963","4,145,993,650","560.00","560.00","545.00","550.00","-11.00","5,131",
" 2010/01/11","3,249,468","1,806,950,744","550.00","559.00","546.00","558.00","+8.00","2,408",
" 2010/01/12","2,728,230","1,519,486,340","557.00","559.00","555.00","558.00"," 0.00","2,011",
" 2010/01/13","5,783,889","3,177,382,172","555.00","555.00","543.00","547.00","-11.00","3,633",
" 2010/01/14","7,259,481","4,084,297,420","550.00","578.00","548.00","573.00","+26.00","4,767",
" 2010/01/15","9,982,777","5,776,001,933","576.00","590.00","573.00","584.00","+11.00","4,847",
" 2010/01/18","3,093,021","1,810,714,264","582.00","590.00","579.00","586.00","+2.00","2,196",
" 2010/01/19","3,547,155","2,041,091,350","588.00","588.00","569.00","570.00","-16.00","2,739",
" 2010/01/20","4,053,369","2,337,561,744","575.00","581.00","572.00","576.00","+6.00","2,882",
" 2010/01/21","7,107,933","3,953,979,650","564.00","565.00","548.00","550.00","-26.00","5,002",
" 2010/01/22","11,948,407","6,294,652,675","532.00","538.00","513.00","523.00","-27.00","7,807",
" 2010/01/25","3,946,015","2,069,641,890","518.00","530.00","518.00","526.00","+3.00","3,094",
" 2010/01/26","6,112,447","3,158,206,099","526.00","528.00","510.00","516.00","-10.00","4,082",
" 2010/01/27","5,317,060","2,793,465,320","524.00","533.00","519.00","522.00","+6.00","3,567",
" 2010/01/28","4,937,673","2,586,507,671","527.00","529.00","518.00","523.00","+1.00","3,014",
" 2010/01/29","8,011,407","4,077,781,517","511.00","520.00","500.00","520.00","-3.00","4,605",
" 2010/02/01","3,909,665","1,997,448,415","525.00","525.00","505.00","505.00","-15.00","2,995",
" 2010/02/02","7,226,433","3,639,020,596","515.00","515.00","495.00","498.00","-7.00","4,874",
" 2010/02/03","5,527,633","2,801,023,830","506.00","511.00","500.00","509.00","+11.00","3,526",
" 2010/02/04","3,398,154","1,740,105,764","510.00","515.00","507.00","515.00","+6.00","2,326",
" 2010/02/05","6,429,002","3,252,746,028","505.00","511.00","500.00","511.00","-4.00","4,138",
" 2010/02/06","2,398,733","1,230,756,029","515.00","517.00","508.00","512.00","+1.00","1,914",
" 2010/02/08","2,820,444","1,433,988,552","513.00","513.00","505.00","506.00","-6.00","2,229",
" 2010/02/09","4,844,675","2,492,698,955","506.00","522.00","506.00","512.00","+6.00","3,257",
" 2010/02/10","3,293,560","1,711,851,080","525.00","525.00","515.00","518.00","+6.00","2,422",
" 2010/02/22","5,982,838","3,182,219,302","530.00","535.00","528.00","529.00","+11.00","3,805",
" 2010/02/23","4,024,640","2,124,520,760","531.00","534.00","523.00","534.00","+5.00","2,387",
" 2010/02/24","3,292,790","1,739,015,700","530.00","531.00","525.00","528.00","-6.00","2,225",
" 2010/02/25","9,321,021","4,770,037,668","523.00","523.00","504.00","507.00","-21.00","5,417",
" 2010/02/26","10,932,466","5,470,865,762","507.00","507.00","496.00","505.00","-2.00","5,331",
" 2010/03/01","7,787,239","3,981,862,302","505.00","524.00","498.00","518.00","+13.00","5,272",
" 2010/03/02","3,975,682","2,057,344,194","523.00","523.00","515.00","516.00","-2.00","2,703",
" 2010/03/03","4,492,983","2,340,682,075","522.00","525.00","517.00","525.00","+9.00","2,555",
" 2010/03/04","2,892,579","1,500,910,185","526.00","526.00","514.00","514.00","-11.00","2,176",
" 2010/03/05","5,958,072","3,057,349,008","517.00","521.00","508.00","509.00","-5.00","3,641",
" 2010/03/08","7,914,600","4,127,718,790","516.00","528.00","515.00","528.00","+19.00","4,373",
" 2010/03/09","4,264,388","2,262,104,416","528.00","535.00","525.00","532.00","+4.00","2,886",
" 2010/03/10","4,508,537","2,412,432,906","535.00","538.00","532.00","538.00","+6.00","2,766",
" 2010/03/11","5,245,270","2,847,837,150","543.00","546.00","537.00","546.00","+8.00","3,545",
" 2010/03/12","3,782,630","2,038,717,070","546.00","546.00","536.00","538.00","-8.00","2,384",
" 2010/03/15","4,206,016","2,236,637,680","536.00","539.00","528.00","530.00","-8.00","2,408",
" 2010/03/16","3,287,047","1,750,466,207","535.00","536.00","531.00","532.00","+2.00","2,167",
" 2010/03/17","5,552,404","3,025,188,180","538.00","548.00","537.00","547.00","+15.00","3,854",
" 2010/03/18","5,764,825","3,136,749,695","546.00","547.00","540.00","541.00","-6.00","3,106",
" 2010/03/19","4,125,689","2,231,913,371","544.00","546.00","538.00","539.00","-2.00","2,830",
" 2010/03/22","3,026,975","1,610,335,750","538.00","539.00","528.00","530.00","-9.00","2,231",
" 2010/03/23","8,940,860","4,684,744,920","532.00","535.00","516.00","519.00","-11.00","4,576",
" 2010/03/24","3,776,279","1,971,502,959","523.00","525.00","520.00","520.00","+1.00","2,317",
" 2010/03/25","5,665,167","3,002,148,495","523.00","538.00","520.00","535.00","+15.00","3,436",
" 2010/03/26","12,132,926","6,653,209,782","533.00","560.00","533.00","560.00","+25.00","7,612",
" 2010/03/29","5,837,671","3,253,013,076","560.00","562.00","552.00","558.00","-2.00","3,631",
" 2010/03/30","3,900,707","2,151,786,850","556.00","556.00","547.00","550.00","-8.00","2,630",
" 2010/03/31","5,792,417","3,208,258,350","550.00","558.00","548.00","551.00","+1.00","2,880",
" 2010/04/01","7,693,204","4,330,536,632","555.00","567.00","555.00","566.00","+15.00","4,175",
" 2010/04/02","2,504,286","1,412,872,874","570.00","570.00","558.00","560.00","-6.00","2,001",
" 2010/04/06","4,022,540","2,294,481,720","569.00","575.00","565.00","570.00","+10.00","2,873",
" 2010/04/07","3,356,984","1,907,962,318","569.00","575.00","565.00","567.00","-3.00","2,580",
" 2010/04/08","4,934,585","2,735,821,750","557.00","564.00","548.00","550.00","-17.00","3,394",
" 2010/04/09","3,045,571","1,678,064,047","552.00","557.00","547.00","557.00","+7.00","2,282",
" 2010/04/12","3,087,826","1,705,793,300","561.00","562.00","546.00","550.00","-7.00","2,174",
" 2010/04/13","3,764,997","2,044,853,368","550.00","550.00","540.00","544.00","-6.00","2,210",
" 2010/04/14","3,063,818","1,684,106,354","550.00","555.00","546.00","551.00","+7.00","2,330",
" 2010/04/15","2,912,492","1,614,300,568","559.00","559.00","551.00","554.00","+3.00","2,229",
" 2010/04/16","1,848,434","1,012,838,832","553.00","553.00","545.00","546.00","-8.00","1,502",
" 2010/04/19","4,583,099","2,459,738,965","540.00","545.00","530.00","531.00","-15.00","3,601",
" 2010/04/20","8,466,482","4,498,303,978","535.00","537.00","525.00","525.00","-6.00","4,885",
" 2010/04/21","7,722,064","4,182,862,136","531.00","550.00","529.00","550.00","+25.00","4,855",
" 2010/04/22","9,371,335","5,217,897,930","549.00","563.00","547.00","560.00","+10.00","5,377",
" 2010/04/23","5,867,369","3,312,462,009","565.00","571.00","558.00","563.00","+3.00","4,085",
" 2010/04/26","6,560,072","3,782,718,472","570.00","579.00","570.00","579.00","+16.00","4,754",
" 2010/04/27","7,804,758","4,492,327,156","579.00","579.00","573.00","576.00","-3.00","3,178",
" 2010/04/28","3,156,677","1,791,475,213","563.00","570.00","563.00","569.00","-7.00","2,396",
" 2010/04/29","7,188,835","3,982,577,425","563.00","568.00","549.00","550.00","-19.00","5,119",
" 2010/04/30","11,980,820","6,434,689,010","545.00","546.00","530.00","534.00","-16.00","8,307",
